id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
894,240,0,2017,4.583800327700375,0.0003424679456727,86.5,0.0143998647267011,195.2479330926535,51.37412252168188,1
999,241,0,2017,1.1236432429264325,0.3084229009866023,71.5,0.1534378834105726,10.316240915087349,4.05296375757076,1
1011,242,0,2017,,,50.0,1.0,0.0,0.0,-99
1012,243,0,2017,,,50.0,1.0,0.0,0.0,-99
1013,244,0,2017,,,50.0,1.0,0.0,0.0,-99
1014,245,0,2017,,,50.0,1.0,0.0,0.0,-99
1015,246,0,2017,,,50.0,1.0,0.0,0.0,-99
1016,247,0,2017,,,50.0,1.0,0.0,0.0,-99
1017,248,0,2017,,,50.0,1.0,0.0,0.0,-99
1018,249,0,2017,,,50.0,1.0,0.0,0.0,-99
1019,250,0,2017,,,50.0,1.0,0.0,0.0,-99
1021,251,0,2017,,,50.0,1.0,0.0,0.0,-99
1023,252,0,2017,,,50.0,1.0,0.0,0.0,-99
1025,253,0,2017,,,50.0,1.0,0.0,0.0,-99
1027,254,0,2017,,,50.0,1.0,0.0,0.0,-99
1029,255,0,2017,,,50.0,1.0,0.0,0.0,-99
1031,256,0,2017,,,50.0,1.0,0.0,0.0,-99
1032,257,0,2017,,,50.0,1.0,0.0,0.0,-99
1033,258,0,2017,,,50.0,1.0,0.0,0.0,-99
1034,259,0,2017,,,50.0,1.0,0.0,0.0,-99
1035,260,0,2017,,,50.0,1.0,0.0,0.0,-99
1036,261,0,2017,,,50.0,1.0,0.0,0.0,-99
1038,262,0,2017,,,50.0,1.0,0.0,0.0,-99
1039,263,0,2017,,,50.0,1.0,0.0,0.0,-99
1040,264,0,2017,,,50.0,1.0,0.0,0.0,-99
1041,265,0,2017,,,50.0,1.0,0.0,0.0,-99
1042,266,0,2017,,,50.0,1.0,0.0,0.0,-99
1043,267,0,2017,,,50.0,1.0,0.0,0.0,-99
1044,268,0,2017,,,50.0,1.0,0.0,0.0,-99
1046,269,0,2017,,,50.0,1.0,0.0,0.0,-99
1047,270,0,2017,,,50.0,1.0,0.0,0.0,-99
1048,271,0,2017,,,50.0,1.0,0.0,0.0,-99
1049,272,0,2017,,,50.0,1.0,0.0,0.0,-99
1052,273,0,2017,0.6647793305764013,0.5271852102544887,54.5,0.7856962962493347,135.606400222732,18.76917721006998,1
1068,274,0,2017,,,50.0,1.0,0.0,0.0,-99
1082,275,0,2017,,,50.0,1.0,0.0,0.0,-99
1097,276,0,2017,,,50.0,1.0,0.0,0.0,-99
1098,277,0,2017,,,50.0,1.0,0.0,0.0,-99
