id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
117507_834,6,2017,,50.0,,1.0,,0.0
117508_834,6,2017,,50.0,,1.0,,0.0
117509_834,6,2017,,50.0,,1.0,,0.0
117610_508,6,2017,,50.0,,1.0,,0.0
117610_834,6,2017,,50.0,,1.0,,0.0
117621_508,6,2017,,50.0,,1.0,,0.0
117622_508,6,2017,,50.0,,1.0,,0.0
117623_508,6,2017,,50.0,,1.0,,0.0
117624_508,6,2017,,50.0,,1.0,,0.0
117625_508,6,2017,,50.0,,1.0,,0.0
117626_508,6,2017,,50.0,,1.0,,0.0
117627_508,6,2017,,50.0,,1.0,,0.0
117628_454,6,2017,,50.0,,1.0,,0.0
117628_508,6,2017,,50.0,,1.0,,0.0
117629_454,6,2017,,50.0,,1.0,,0.0
117629_508,6,2017,,50.0,,1.0,,0.0
117630_508,6,2017,,50.0,,1.0,,0.0
117630_834,6,2017,,50.0,,1.0,,0.0
117640_834,6,2017,,50.0,,1.0,,0.0
117650_508,6,2017,,50.0,,1.0,,0.0
117650_834,6,2017,,50.0,,1.0,,0.0
117660_508,6,2017,,50.0,,1.0,,0.0
117670_508,6,2017,,50.0,,1.0,,0.0
117670_834,6,2017,,50.0,,1.0,,0.0
117680_508,6,2017,,50.0,,1.0,,0.0
117680_834,6,2017,,50.0,,1.0,,0.0
117690_508,6,2017,,50.0,,1.0,,0.0
117690_834,6,2017,,50.0,,1.0,,0.0
117701_508,6,2017,,50.0,,1.0,,0.0
117702_508,6,2017,,50.0,,1.0,,0.0
117703_508,6,2017,,50.0,,1.0,,0.0
117704_508,6,2017,,50.0,,1.0,,0.0
117705_508,6,2017,,50.0,,1.0,,0.0
117706_508,6,2017,1.7233370229562064,73.5,0.14480298084985202,0.11794806736103866,1.0,71.89609311444816
117707_508,6,2017,,50.0,,1.0,,0.0
117708_508,6,2017,,50.0,,1.0,,0.0
117709_508,6,2017,,50.0,,1.0,,0.0
117801_508,6,2017,,50.0,,1.0,,0.0
117802_508,6,2017,,50.0,,1.0,,0.0
117803_508,6,2017,,50.0,,1.0,,0.0
117804_508,6,2017,,50.0,,1.0,,0.0
117805_508,6,2017,,50.0,,1.0,,0.0
117806_508,6,2017,,50.0,,1.0,,0.0
117807_508,6,2017,,50.0,,1.0,,0.0
117808_508,6,2017,,50.0,,1.0,,0.0
117809_508,6,2017,,50.0,,1.0,,0.0
117911_508,6,2017,,50.0,,1.0,,0.0
117912_508,6,2017,,50.0,,1.0,,0.0
117913_508,6,2017,0.042709533470497364,41.5,0.9672182165935004,0.5865744278376042,-1.0,-10.075481095529106
117914_508,6,2017,,50.0,,1.0,,0.0
117915_508,6,2017,,50.0,,1.0,,0.0
117916_508,6,2017,,50.0,,1.0,,0.0
117917_508,6,2017,,50.0,,1.0,,0.0
117918_508,6,2017,,50.0,,1.0,,0.0
117919_508,6,2017,,50.0,,1.0,,0.0
117920_508,6,2017,,50.0,,1.0,,0.0
117930_508,6,2017,,50.0,,1.0,,0.0
117940_508,6,2017,,50.0,,1.0,,0.0
117950_508,6,2017,,50.0,,1.0,,0.0
117960_508,6,2017,,50.0,,1.0,,0.0
117970_508,6,2017,,50.0,,1.0,,0.0
117980_508,6,2017,,50.0,,1.0,,0.0
117990_508,6,2017,,50.0,,1.0,,0.0
121000_508,6,2017,,50.0,,1.0,,0.0
122100_508,6,2017,,50.0,,1.0,,0.0
122211_454,6,2017,,50.0,,1.0,,0.0
