id,t_score,u_score,p_t,p_u,p_u_thd_0.01
227_642,-0.21582453377635286,-50.5,0.8310270902892659,1.0,0.0
227_688,1.0924370533416632,64.5,0.28595219265632255,0.3412684763150512,0.0
227_70,0.913875020184423,67.5,0.37026388128204824,0.24784912392821346,0.0
227_703,-0.45881932363801703,-37.5,0.6506703534177958,0.4146659024229229,0.0
227_705,1.9491498560698195,79.5,0.06357566525015912,0.048689610702269216,0.0
227_756,-0.10281179087657917,61.5,0.9190035084155113,0.45453353442944344,0.0
227_8,,,,1.0,0.0
227_804,,,,1.0,0.0
227_807,,,,1.0,0.0
228_100,-2.2322701432800742,-26.5,0.03562367728130968,0.11794806736103866,0.0
228_642,,,,1.0,0.0
228_792,1.2830100488000804,68.5,0.21226709910548588,0.2211162550702167,0.0
228_804,,,,1.0,0.0
231_250,,,,1.0,0.0
231_620,1.2968785027129182,70.5,0.20753305070326086,0.17398281795260206,0.0
231_724,-1.885262163424012,-22.5,0.07209014244531631,0.06645414979996266,0.0
232_20,,,,1.0,0.0
232_203,1.7200943374961315,75.5,0.09884471269717658,0.08924454710859073,0.0
232_250,2.0982107659284592,80.5,0.04706986885146876,0.04142253879330133,0.0
232_276,-0.598016333602153,-40.5,0.5556724807341309,0.5406815690956761,0.0
232_380,-1.2943839724939594,-28.5,0.2083784947653417,0.1534378834105726,0.0
232_40,-0.1156757529196052,,0.9089135547576437,0.9379943183159559,0.0
232_438,,,,1.0,0.0
232_442,-1.188138950539355,-41.5,0.24690326163756243,0.5865744278376042,0.0
232_528,-0.33837467594817106,-28.5,0.7381502952891743,0.1534378834105726,0.0
232_56,0.5907178036141825,62.5,0.5604700017057224,0.4146659024229229,0.0
