id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1170_454,4,2010,,,50.0,1.0,0.0,0.0
1170_454,4,2015,,,50.0,1.0,0.0,0.0
1170_454,4,2017,,,50.0,1.0,0.0,0.0
1170_508,4,2000,,,50.0,1.0,0.0,0.0
1170_508,4,2005,,,50.0,1.0,0.0,0.0
1170_508,4,2010,,,50.0,1.0,0.0,0.0
1170_508,4,2015,,,50.0,1.0,0.0,0.0
1170_508,4,2017,,,50.0,1.0,0.0,0.0
1171_404,4,2000,,,50.0,1.0,0.0,0.0
1171_404,4,2005,,,50.0,1.0,0.0,0.0
1171_404,4,2010,,,50.0,1.0,0.0,0.0
1171_404,4,2015,,,50.0,1.0,0.0,0.0
1171_404,4,2017,,,50.0,1.0,0.0,0.0
1171_706,4,2000,,,50.0,1.0,0.0,0.0
1171_706,4,2005,,,50.0,1.0,0.0,0.0
1171_706,4,2010,,,50.0,1.0,0.0,0.0
1171_706,4,2015,,,50.0,1.0,0.0,0.0
1171_706,4,2017,,,50.0,1.0,0.0,0.0
1172_404,4,2000,-0.07694676840819528,0.9415227355620533,51.5,0.9457840102873425,111.8255599035435,1.071588530605403
1172_404,4,2005,0.5382684980752795,0.6103093295561711,55.5,0.7338488462374848,111.8255599035435,0.5263634427405122
1172_404,4,2010,1.2470119349923883,0.23704805108949933,59.5,0.5405256097346169,111.8255599035435,1.3208533016970412
1172_404,4,2015,-1.502038612455986,0.1757811557114417,33.5,0.2765806978220734,111.8255599035435,-35.293920567225975
1172_404,4,2017,-0.7397684878249657,0.4893084728726175,41.5,0.5865744278376042,111.8255599035435,-35.293920567225975
1173_404,4,2000,,,50.0,1.0,0.0,0.0
1173_404,4,2005,,,50.0,1.0,0.0,0.0
1173_404,4,2010,,,50.0,1.0,0.0,0.0
1173_404,4,2015,,,50.0,1.0,0.0,0.0
1173_404,4,2017,,,50.0,1.0,0.0,0.0
1173_834,4,2000,0.7119101252641841,0.48376550508646043,61.5,0.4544466217384099,77.72273815708135,3.7070333357369027
1173_834,4,2005,0.8024010864937087,0.45967911540132456,61.5,0.4544466217384099,77.72273815708135,19.76348594918606
1173_834,4,2010,-0.5936197762814163,0.573032623774302,39.5,0.4964915434248136,77.72273815708135,-3.7599745478286852
1173_834,4,2015,-1.2054667471684708,0.26163546366972157,37.5,0.41448613410576296,77.72273815708135,-3.8734355942060934
1173_834,4,2017,0.8603390424135733,0.43183135937412925,63.5,0.37686571143689396,77.72273815708135,7.670585157240185
