id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
7831_840,4,2005,0.6034209684590893,0.5650463723914777,66.5,0.2765806978220734,17.0797771101237,0.5242804466826363
7831_840,4,2010,-2.5187707073689447,0.023132766159983414,24.5,0.08912133249537314,17.0797771101237,-2.3810194997773366
7831_840,4,2015,0.7326928861857861,0.49684246461776316,57.5,0.6340642040377586,17.0797771101237,-0.22064120960596478
7831_840,4,2017,1.1005622178220589,0.3230193422176268,65.5,0.307900293130149,17.0797771101237,3.2715129554507145
7832_124,4,2000,1.0755037223920125,0.32762061183117497,65.5,0.3077139478434141,37.718659159015644,4.699028498102528
7832_124,4,2005,-0.3267423894065634,0.7549947787537993,37.5,0.41448613410576296,37.718659159015644,-1.867436414204129
7832_124,4,2010,-0.5022829153964896,0.6215488299167702,55.5,0.7338488462374848,37.718659159015644,3.4342094239004743
7832_124,4,2015,-0.573482741282165,0.5885904567976998,41.5,0.5864302419067187,37.718659159015644,-0.9718833986851357
7832_124,4,2017,0.6134547371123277,0.5661861066645362,59.5,0.5406815690956761,37.718659159015644,13.690078329186248
7832_840,4,2000,,,50.0,1.0,0.0,0.0
7832_840,4,2005,,,50.0,1.0,0.0,0.0
7832_840,4,2010,,,50.0,1.0,0.0,0.0
7832_840,4,2015,,,50.0,1.0,0.0,0.0
7832_840,4,2017,,,50.0,1.0,0.0,0.0
7833_124,4,2000,1.1609204481199182,0.28607963753921994,72.5,0.13464195967385212,8.01166092354985,5.333225144896343
7833_124,4,2005,-0.025143553988791534,0.9809013635897499,41.5,0.5864302419067187,8.01166092354985,-8.334900749441717
7833_124,4,2010,-2.687403149153376,0.014750369027964573,26.5,0.11780654950831168,8.01166092354985,-6.322414982809539
7833_124,4,2015,0.5210368743700498,0.6175553760271989,59.5,0.5405256097346169,8.01166092354985,0.28251753724491174
7833_124,4,2017,0.9024453013687213,0.4039178988129908,65.5,0.307900293130149,8.01166092354985,3.0944650641167324
7833_840,4,2000,,,50.0,1.0,0.0,0.0
7833_840,4,2005,,,50.0,1.0,0.0,0.0
7833_840,4,2010,,,50.0,1.0,0.0,0.0
7833_840,4,2015,,,50.0,1.0,0.0,0.0
7833_840,4,2017,,,50.0,1.0,0.0,0.0
7834_124,4,2000,-0.517400541906724,0.6253943742739068,42.5,0.6340642040377586,0.3809576448984445,-1.0951369812181027
7834_124,4,2005,-0.5498751109884714,0.6041983055821745,38.5,0.4544466217384099,0.3809576448984445,-13.233355960523552
7834_124,4,2010,-0.4687434848955447,0.6502170413039908,44.5,0.7338488462374848,0.3809576448984445,-0.007027697569610516
7834_124,4,2015,2.6154701605112645,0.020155165503158982,74.5,0.1026691721573245,0.3809576448984445,25.919088304171005
7834_124,4,2017,2.4588227702385086,0.027559421034185502,74.5,0.10280164223951978,0.3809576448984445,17.729195140197117
7835_124,4,2000,-1.7836247681243065,0.10261457442543469,34.5,0.3077139478434141,0.508437138720183,-25.45260183773986
7835_124,4,2005,-1.0914968101484839,0.2898387539745531,38.5,0.4544466217384099,0.508437138720183,-0.8722163583401903
7835_124,4,2010,-0.39026912232268796,0.7102163172962691,46.5,0.8383487162012156,0.508437138720183,0.26238033571217856
7835_124,4,2015,2.4499235232126693,0.045739274956707786,80.5,0.04134423030761837,0.508437138720183,50.46288884129127
7835_124,4,2017,1.8158601164540245,0.11110481637450198,75.5,0.08924454710859073,0.508437138720183,20.168893302949435
7836_124,4,2000,,,50.0,1.0,0.0,0.0
7836_124,4,2005,,,50.0,1.0,0.0,0.0
7836_124,4,2010,,,50.0,1.0,0.0,0.0
7836_124,4,2015,,,50.0,1.0,0.0,0.0
7836_124,4,2017,,,50.0,1.0,0.0,0.0
7837_124,4,2000,-2.6922886193488953,0.02432172256065001,20.5,0.04860285309914336,0.141185506945476,-89.48748841223137
7837_124,4,2005,0.2403338307133314,0.8177003230481527,58.5,0.5864302419067187,0.141185506945476,14.11848985793222
7837_124,4,2010,-0.40235233276210325,0.697398969657937,41.5,0.5864302419067187,0.141185506945476,-26.806891529411896
7837_124,4,2015,3.517124045037836,0.002911441379625417,79.5,0.04860285309914336,0.141185506945476,99.25928136045867
7837_124,4,2017,0.7431276833071894,0.4870221878975364,62.5,0.4146659024229229,0.141185506945476,68.10175071092016
7837_840,4,2000,-1.8093526451015756,0.11535621401389912,28.5,0.15327952768294986,0.24545111268525951,-36.51089876769119
7837_840,4,2005,0.31504956430180026,0.7627296341858426,52.5,0.891818055418289,0.24545111268525951,-3.2886279168334682
7837_840,4,2010,0.47776506769649557,0.6505912692325773,57.5,0.6340642040377586,0.24545111268525951,19.870717753905748
7837_840,4,2015,1.0574339726304083,0.32079464819978115,61.5,0.4544466217384099,0.24545111268525951,6.7361421556341865
