adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
876,Wallis and Futuna,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
882,Samoa,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
887,Yemen,Western Asia (M49) and Northern Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
894,Zambia,Sub-Saharan Africa (M49),-12.215668832889191,12.654381929694258,-0.8383797712325818,51.37412252168188,51.37412252168188,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,124.0
999,,,3.121644699020246,-9.0206078547215,-0.7323443754693624,2.5290686506391853,4.05296375757076,,,,,,,,,,,
1011,Azores Islands,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1012,Canary Islands,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1013,Aksai Chin,Eastern Asia (M49) and South-eastern Asia (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1014,Arunachal Pradesh,Central Asia (M49) and Southern Asia (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1015,Ashmore and Cartier Islands,Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1016,Baker Island,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1017,Bassas da India,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1018,Bird Island,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1019,Bouvet Island,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1021,China/India,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
